id,pergunta,resposta,classificação,classe_auto,anotacao_manual,correta,observacoes
204,O Caio gostou da viagem?,"Sim, gostou.",Completa,completa,completa,sim,
267,O noivo pagou o casamento?,Pagou.,Completa,indefinida,completa,não,
153,O Mário comprou a moto?,Comprou.,Completa,indefinida,completa,não,
10,O Rafael e a Laura participaram da reunião?,O Rafael participou.,Subinformativa,subinformativa,subinformativa,sim,
234,A Gabi sabe andar a cavalo?,Sabe.,Completa,indefinida,completa,não,
227,O João Paulo participou da viagem?,Ninguém participou.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
197,O Gabriel falou com o diretor?,Todos falaram.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
110,A Juliana foi ao shopping com a Renata?,Ninguém foi.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
6,O Pedro e a Ana chegaram ao cinema?,Não chegaram.,Completa,completa,completa,sim,
176,A Luísa participou da formatura?,Todas participaram.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
238,A Iane e a Catarina têm um lugar para ficar?,A Catarina tem.,Subinformativa,indefinida,subinformativa,não,
58,O palhaço e a ginásta participaram do circo?,O palhaço participou.,Subinformativa,subinformativa,subinformativa,sim,
219,O Otávio foi ao jogo?,Foi.,Completa,indefinida,completa,não,
46,A Cláudia e a Helena concluíram a tarefa?,A Helena concluiu.,Subinformativa,indefinida,subinformativa,não,
183,O Rafael foi ao parque?,Sim.,Completa,completa,completa,sim,
222,A Luana chegou ao teatro?,"Sim, chegou.",Completa,indefinida,completa,não,
290,A senha está correta?,Nada está.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
212,O Henrique comeu a pizza?,Ninguém comeu.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
149,A Melissa terminou o filme?,Todos terminaram.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
166,O Márcio e o Rivo concluíram a conversa?,O Rivo concluiu.,Subinformativa,indefinida,subinformativa,não,
79,A internet e a luz foram desligadas?,A luz foi.,Subinformativa,subinformativa,subinformativa,sim,
114,O filho fechou a porta?,Sim.,Completa,completa,completa,sim,
250,O Guilherme e o Bruno gostaram do congresso?,O Guilherme gostou.,Subinformativa,subinformativa,subinformativa,sim,
251,O Gui gostou do congresso?,Todos gostaram.,Sobreinformativa,sobreinformativa,sobreinformativa,sim,
105,A Lisa participou do jogo?,"Não, não participou.",Completa,completa,completa,sim,
