id,pergunta,resposta,classificação
1,O João e a Maria foram à festa?,A Maria foi.,Subinformativa
2,O João e a Maria foram à festa?,Ninguém foi.,Sobreinformativa
3,O João e a Maria foram à festa?,Sim.,Completa
4,O Pedro e a Ana chegaram ao cinema?,A Ana chegou.,Subinformativa
5,O Pedro e a Ana chegaram ao cinema?,Todos chegaram.,Sobreinformativa
6,O Pedro e a Ana chegaram ao cinema?,Não chegaram.,Completa
7,A Giovana foi ao show com o Gabriel?,"Sim, foi",Completa
8,A Giovana foi ao show com o Gabriel?,Todo mundo foi.,Sobreinformativa
9,A Giovana e a Fernanda foram ao show com o Gabriel?,A Fernanda foi.,Subinformativa
10,O Rafael e a Laura participaram da reunião?,O Rafael participou.,Subinformativa
11,O Rafael e a Laura participaram da reunião?,Ninguém participou.,Sobreinformativa
12,O Rafael e a Laura participaram da reunião?,Não participaram. ,Completa
13,A Ana e a Nicole falam japonês?,A Nicole fala.,Subinformativa
14,A Ana e a Nicole falam japonês?,Não.,Completa
15,A Ana e a Nicole falam japonês?,Ninguém fala.,Sobreinformativa
16,Seu pai e sua mãe sabem dirigir?,Minha mãe sabe.,Subinformativa
17,Seu pai e sua mãe sabem dirigir?,Toda a minha família sabe.,Sobreinformativa
18,Seu pai e sua mãe sabem dirigir?,"Sabem, sim.",Completa
19,O Caio e a Júlia conhecem a Raquel?,O Caio conhece.,Subinformativa
20,O Caio e a Júlia conhecem a Raquel?,Todo mundo conhece,Sobreinformativa
21,O Caio e a Júlia conhecem a Raquel?,Sim.,Completa
22,Sua irmã e seu cunhado têm carro?,Meu cunhado tem.,Subinformativa
23,Sua irmã e seu cunhado têm carro?,Ninguém próximo a mim tem.,Sobreinformativa
24,Sua irmã e seu cunhado têm carro?,Eles têm.,Completa
25,O Carlos e a Elci almoçaram?,A Elci almoçou.,Subinformativa
26,O Carlos e a Elci almoçaram?,Todo o grupo almoçou junto.,Sobreinformativa
27,O Carlos e a Elci almoçaram?,Almoçaram.,Completa
28,O Ricardo e o Eric terminaram o trabalho?,O Ricardo terminou.,Subinformativa
29,O Ricardo e o Eric terminaram o trabalho?,Ninguém terminou.,Sobreinformativa
30,O Ricardo e o Eric terminaram o trabalho?,Não terminaram.,Completa
31,Os alunos e os professores compraram os ingressos?,Os professores compraram.,Subinformativa
32,Os alunos e os professores compraram os ingressos?,Todos compraram.,Sobreinformativa
33,Os alunos e os professores compraram os ingressos?,Não.,Completa
34,Os adultos e as crianças gostaram do filme?,As crianças gostaram,Subinformativa
35,Os adultos e as crianças gostaram do filme?,Todo o público gostou.,Sobreinformativa
36,Os adultos e as crianças gostaram do filme?,"Sim, eles gostaram.",Completa
37,O advogado e o cliente aprovaram a proposta?,O advogado aprovou.,Subinformativa
38,O advogado e o cliente aprovaram a proposta?,Ninguém presente aprovou.,Sobreinformativa
39,O advogado e o cliente aprovaram a proposta?,Não aprovaram.,Completa
40,O Ryan e a Bruna responderam à pergunta?,O Ryan respondeu.,Subinformativa
41,O Ryan e a Bruna responderam à pergunta?,Toda a sala respondeu.,Sobreinformativa
42,O Ryan e a Bruna responderam à pergunta?,Responderam.,Completa
43,O professor e os alunos compareceram à aula?,O professor compareceu.,Subinformativa
44,O professor e os alunos compareceram à aula?,Todos compareceram.,Sobreinformativa
45,O professor e os alunos compareceram à aula?,"Sim, eles compareceram.",Completa
46,A Cláudia e a Helena concluíram a tarefa?,A Helena concluiu.,Subinformativa
47,A Cláudia e a Helena concluíram a tarefa?,Todo mundo concluiu.,Sobreinformativa
48,A Cláudia e a Helena concluíram a tarefa?,Não concluíram.,Completa
49,Os cachorros e os gatos foram ao parque?,Os cachorros foram.,Subinformativa
50,Os cachorros foram ao parque?,Nenhum animal foi.,Sobreinformativa
51,Os cachorros foram ao parque?,Sim.,Completa
52,O médico e o paciente chegaram à consulta?,O médico chegou.,Subinformativa
53,O paciente chegou à consulta?,Todos chegaram.,Sobreinformativa
54,O paciente chegou à consulta?,Chegou.,Completa
55,O Lucas e o Tiago foram ao compromisso com a Lia?,O Lucas foi.,Subinformativa
56,O Lucas foi ao compromisso com a Lia?,Ninguém foi.,Sobreinformativa
57,O Lucas foi ao compromisso com a Lia?,Não foi.,Completa
58,O palhaço e a ginásta participaram do circo?,O palhaço participou.,Subinformativa
59,O palhaço participou do circo?,Todo mundo participou.,Sobreinformativa
60,O palhaço participou do circo?,"Sim, ele participou.",Completa
61,A Amanda e o Daniel falam espanhol?,O Daniel fala.,Subinformativa
62,A Amanda fala espanhol?,Todos falam.,Sobreinformativa
63,A Amanda fala espanhol?,"Não, ela não fala.",Completa
64,A Elisa e a Isabel sabem tocar piano?,A Elisa sabe.,Subinformativa
65,A Elisa sabe tocar piano?,Ninguém sabe.,Sobreinformativa
66,A Elisa sabe tocar piano?,"Sim, sabe.",Completa
