id,pergunta,resposta,classificação,classe_auto
1,O João e a Maria foram à festa?,A Maria foi.,Subinformativa,subinformativa
2,O João e a Maria foram à festa?,Ninguém foi.,Sobreinformativa,sobreinformativa
3,O João e a Maria foram à festa?,Sim.,Completa,indefinida
4,O Pedro e a Ana chegaram ao cinema?,A Ana chegou.,Subinformativa,subinformativa
5,O Pedro e a Ana chegaram ao cinema?,Todos chegaram.,Sobreinformativa,sobreinformativa
6,O Pedro e a Ana chegaram ao cinema?,Não chegaram.,Completa,completa
7,A Giovana foi ao show com o Gabriel?,"Sim, foi",Completa,indefinida
8,A Giovana foi ao show com o Gabriel?,Todo mundo foi.,Sobreinformativa,sobreinformativa
9,A Giovana e a Fernanda foram ao show com o Gabriel?,A Fernanda foi.,Subinformativa,subinformativa
10,O Rafael e a Laura participaram da reunião?,O Rafael participou.,Subinformativa,subinformativa
11,O Rafael e a Laura participaram da reunião?,Ninguém participou.,Sobreinformativa,sobreinformativa
12,O Rafael e a Laura participaram da reunião?,Não participaram. ,Completa,indefinida
13,A Ana e a Nicole falam japonês?,A Nicole fala.,Subinformativa,subinformativa
14,A Ana e a Nicole falam japonês?,Não.,Completa,indefinida
15,A Ana e a Nicole falam japonês?,Ninguém fala.,Sobreinformativa,sobreinformativa
16,Seu pai e sua mãe sabem dirigir?,Minha mãe sabe.,Subinformativa,indefinida
17,Seu pai e sua mãe sabem dirigir?,Toda a minha família sabe.,Sobreinformativa,indefinida
18,Seu pai e sua mãe sabem dirigir?,"Sabem, sim.",Completa,indefinida
19,O Caio e a Júlia conhecem a Raquel?,O Caio conhece.,Subinformativa,subinformativa
20,O Caio e a Júlia conhecem a Raquel?,Todo mundo conhece,Sobreinformativa,sobreinformativa
21,O Caio e a Júlia conhecem a Raquel?,Sim.,Completa,indefinida
22,Sua irmã e seu cunhado têm carro?,Meu cunhado tem.,Subinformativa,indefinida
23,Sua irmã e seu cunhado têm carro?,Ninguém próximo a mim tem.,Sobreinformativa,sobreinformativa
24,Sua irmã e seu cunhado têm carro?,Eles têm.,Completa,indefinida
25,O Carlos e a Elci almoçaram?,A Elci almoçou.,Subinformativa,indefinida
26,O Carlos e a Elci almoçaram?,Todo o grupo almoçou junto.,Sobreinformativa,indefinida
27,O Carlos e a Elci almoçaram?,Almoçaram.,Completa,subinformativa
28,O Ricardo e o Eric terminaram o trabalho?,O Ricardo terminou.,Subinformativa,subinformativa
29,O Ricardo e o Eric terminaram o trabalho?,Ninguém terminou.,Sobreinformativa,sobreinformativa
30,O Ricardo e o Eric terminaram o trabalho?,Não terminaram.,Completa,completa
31,Os alunos e os professores compraram os ingressos?,Os professores compraram.,Subinformativa,indefinida
32,Os alunos e os professores compraram os ingressos?,Todos compraram.,Sobreinformativa,sobreinformativa
33,Os alunos e os professores compraram os ingressos?,Não.,Completa,indefinida
34,Os adultos e as crianças gostaram do filme?,As crianças gostaram,Subinformativa,indefinida
35,Os adultos e as crianças gostaram do filme?,Todo o público gostou.,Sobreinformativa,indefinida
36,Os adultos e as crianças gostaram do filme?,"Sim, eles gostaram.",Completa,completa
37,O advogado e o cliente aprovaram a proposta?,O advogado aprovou.,Subinformativa,subinformativa
38,O advogado e o cliente aprovaram a proposta?,Ninguém presente aprovou.,Sobreinformativa,sobreinformativa
39,O advogado e o cliente aprovaram a proposta?,Não aprovaram.,Completa,indefinida
40,O Ryan e a Bruna responderam à pergunta?,O Ryan respondeu.,Subinformativa,subinformativa
41,O Ryan e a Bruna responderam à pergunta?,Toda a sala respondeu.,Sobreinformativa,indefinida
42,O Ryan e a Bruna responderam à pergunta?,Responderam.,Completa,indefinida
43,O professor e os alunos compareceram à aula?,O professor compareceu.,Subinformativa,subinformativa
44,O professor e os alunos compareceram à aula?,Todos compareceram.,Sobreinformativa,sobreinformativa
45,O professor e os alunos compareceram à aula?,"Sim, eles compareceram.",Completa,completa
46,A Cláudia e a Helena concluíram a tarefa?,A Helena concluiu.,Subinformativa,indefinida
47,A Cláudia e a Helena concluíram a tarefa?,Todo mundo concluiu.,Sobreinformativa,sobreinformativa
48,A Cláudia e a Helena concluíram a tarefa?,Não concluíram.,Completa,completa
49,Os cachorros e os gatos foram ao parque?,Os cachorros foram.,Subinformativa,subinformativa
50,Os cachorros foram ao parque?,Nenhum animal foi.,Sobreinformativa,sobreinformativa
51,Os cachorros foram ao parque?,Sim.,Completa,completa
52,O médico e o paciente chegaram à consulta?,O médico chegou.,Subinformativa,subinformativa
53,O paciente chegou à consulta?,Todos chegaram.,Sobreinformativa,sobreinformativa
54,O paciente chegou à consulta?,Chegou.,Completa,indefinida
55,O Lucas e o Tiago foram ao compromisso com a Lia?,O Lucas foi.,Subinformativa,subinformativa
56,O Lucas foi ao compromisso com a Lia?,Ninguém foi.,Sobreinformativa,sobreinformativa
57,O Lucas foi ao compromisso com a Lia?,Não foi.,Completa,indefinida
58,O palhaço e a ginásta participaram do circo?,O palhaço participou.,Subinformativa,subinformativa
59,O palhaço participou do circo?,Todo mundo participou.,Sobreinformativa,sobreinformativa
60,O palhaço participou do circo?,"Sim, ele participou.",Completa,completa
61,A Amanda e o Daniel falam espanhol?,O Daniel fala.,Subinformativa,subinformativa
62,A Amanda fala espanhol?,Todos falam.,Sobreinformativa,sobreinformativa
63,A Amanda fala espanhol?,"Não, ela não fala.",Completa,completa
64,A Elisa e a Isabel sabem tocar piano?,A Elisa sabe.,Subinformativa,subinformativa
65,A Elisa sabe tocar piano?,Ninguém sabe.,Sobreinformativa,sobreinformativa
66,A Elisa sabe tocar piano?,"Sim, sabe.",Completa,completa
67,A Melissa e o Roberto conhecem o Bruno?,O Roberto conhece.,Subinformativa,indefinida
68,A Melissa conhece o Bruno?,Todo mundo conhece.,Sobreinformativa,sobreinformativa
69,A Melissa conhece o Bruno?,Conhece.,Completa,indefinida
70,O Lucas e a Bruna têm apartamento?,A Bruna tem.,Subinformativa,indefinida
